stage,hit_at_1,hit_at_3,hit_at_5,hit_at_5_count,mrr,en_hit_at_5,ar_hit_at_5,drug_id_acc,section_id_acc
"A: Baseline (No metadata, standard RRF+CrossEncoder)",0.24444444444444444,0.24444444444444444,0.24444444444444444,11/45,0.24444444444444444,0.3333333333333333,0.06666666666666667,0.9111111111111111,0.8
B: + Monograph Metadata (Enriched BM25 index),0.26666666666666666,0.4222222222222222,0.4888888888888889,22/45,0.34777777777777774,0.6,0.26666666666666666,0.9111111111111111,0.8
C: + Section-Aware Query Decomposition,0.4,0.6444444444444445,0.7111111111111111,32/45,0.5292592592592592,0.7,0.7333333333333333,0.9111111111111111,0.8
D: + Hierarchical Scoped Candidate Pool,0.4,0.6888888888888889,0.7333333333333333,33/45,0.5544444444444444,0.7,0.8,0.9111111111111111,0.8
E: + Contextual CrossEncoder Reranking,0.4,0.6888888888888889,0.7333333333333333,33/45,0.5544444444444444,0.7,0.8,0.9111111111111111,0.8
F: + Controlled Neighbor Expansion,0.4,0.6888888888888889,0.7333333333333333,33/45,0.5544444444444444,0.7,0.8,0.9111111111111111,0.8
G: Final Full Pipeline (+ Acceptance & Deduplication),0.4,0.7333333333333333,0.8444444444444444,38/45,0.5862962962962963,0.8,0.9333333333333333,0.9111111111111111,0.8
